step,loss,lr,elapsed_seconds,peak_vram_mb
1,0.877381,2e-05,2.406,615.63
5,0.902813,0.0001,4.223,619.14
10,0.778437,0.0002,6.499,619.14
15,0.771099,0.00019090909090909092,8.715,619.14
20,0.653162,0.00018181818181818183,10.9,619.14
25,0.293783,0.00017272727272727275,13.094,619.14
30,0.388304,0.00016363636363636366,15.228,619.14
35,0.485932,0.00015454545454545454,17.347,619.14
40,0.118413,0.00014545454545454546,19.542,619.14
45,0.082153,0.00013636363636363637,21.731,619.14
50,0.257894,0.00012727272727272728,23.873,619.14
55,0.069542,0.0001181818181818182,26.07,619.14
60,0.156092,0.00010909090909090909,28.268,619.14
65,0.178039,0.0001,30.396,619.14
70,0.326269,9.090909090909092e-05,32.554,619.14
75,0.087855,8.181818181818183e-05,34.701,619.14
80,0.235236,7.272727272727273e-05,36.894,619.14
85,0.178099,6.363636363636364e-05,39.099,619.14
90,0.02959,5.4545454545454546e-05,41.265,619.14
95,0.147028,4.545454545454546e-05,43.449,619.14
100,0.144587,3.6363636363636364e-05,45.605,619.14
105,0.160436,2.7272727272727273e-05,47.769,619.14
110,0.014431,1.8181818181818182e-05,49.937,619.14
115,0.221618,9.090909090909091e-06,52.13,619.14
120,0.236919,0.0,54.27,619.14
