step,loss,lr,elapsed_seconds,peak_vram_mb
1,0.44727,1.2e-05,214.167,3803.12
5,0.466991,6e-05,217.512,3811.43
10,0.376052,0.00012,221.541,3811.43
15,0.167565,0.00011454545454545455,226.44,3811.43
20,0.011487,0.00010909090909090909,230.588,3811.43
25,0.001244,0.00010363636363636364,235.543,3811.43
30,0.000949,9.81818181818182e-05,239.603,3811.43
35,0.185902,9.272727272727273e-05,244.419,3811.43
40,0.000963,8.727272727272727e-05,248.548,3811.43
45,0.000729,8.181818181818182e-05,253.305,3811.43
50,0.000631,7.636363636363636e-05,257.387,3811.43
55,0.000465,7.090909090909092e-05,262.524,3811.43
60,0.022401,6.545454545454545e-05,266.966,3811.43
65,0.109379,6e-05,271.948,3811.43
70,0.000392,5.4545454545454546e-05,276.031,3811.43
75,0.003015,4.90909090909091e-05,281.227,3811.43
80,0.000275,4.3636363636363636e-05,285.323,3811.43
85,0.000318,3.818181818181818e-05,290.09,3811.43
90,0.000262,3.2727272727272725e-05,294.167,3811.43
95,0.00684,2.7272727272727273e-05,299.106,3811.43
100,0.001896,2.1818181818181818e-05,303.239,3811.43
105,0.000268,1.6363636363636363e-05,308.324,3811.43
110,0.000221,1.0909090909090909e-05,312.348,3811.43
115,0.000206,5.4545454545454545e-06,317.096,3811.43
120,0.155687,0.0,321.142,3811.43
